t_sl_Fa," y_sl_Fa"," t_sl_Fp"," y_sl_Fp"," t_sl_Fnu"," y_sl_Fnu"," t_dl_Fa"," y_dl_Fa"," t_dl_Fp"," y_dl_Fp"," t_dl_Fnu"," y_dl_Fnu"
1.2604702364326443," -0.3480584072357664","2.32315199710826"," -4.1264189606388975","2.4308062871481124"," -1.97353745415018","1.2674700308051792"," -0.45278996768388047","2.2662436673060844"," -1.3702517371591085","2.39451648698116"," -1.9526812535952436"
1.2750275208254611," -0.45852360241282697","2.4832821254292434"," -4.16535845430057","2.5907711624986924"," -1.9981137807989642","1.2819813585671018"," -0.5522932933523133","2.426032495532274"," -1.3985903188592435","2.554141092362308"," -1.9775980569699803"
1.299289661480155," -0.6020532097517286","2.6434122537502267"," -4.176015578881659","2.750736037849272"," -2.007713908396145","1.2964926863290245"," -0.6642345347292999","2.5858213237584646"," -1.40846982440608","2.7137656977434554"," -1.9813733302085765"
1.3114207318075026," -0.7222874357947877","2.80354238207121"," -4.179704583544344","2.910700913199852"," -2.0226901074477475","1.3110040140909467"," -0.7761757761062866","2.7456101519846543"," -1.4139295511556478","2.873390303124603"," -1.9832609668278751"
1.3235518021348498," -0.8335040948846175","2.9636725103921933"," -4.192001265753293","3.070665788550431"," -2.0434263830576596","1.3279338964798564"," -0.8640185557979501","2.905398980210844"," -1.4258889526070804","3.0330149085057507"," -1.989678931333489"
1.3550925849859525," -0.9871784650459023","3.123802638713176"," -4.194050712788118","3.230630663901011"," -2.0610906178364736","1.3497008881227401"," -1.0016129983238296","3.0651878084370336"," -1.4313486793566481","3.1926395138868977"," -1.9979845324584016"
1.3842071537715857," -1.1303323404284193","3.28393276703416"," -4.194050712788118","3.390595539251591"," -2.0729947760569774","1.378723543646585"," -1.1613624782055707","3.2249766366632233"," -1.4352484841777673","3.3522641192680456"," -2.0066676609071727"
1.4517945455953774," -1.2697825722408602","3.4440628953551427"," -4.194050712788118","3.5505604146021703"," -2.085666944485257","1.4396711202466594"," -1.3001229753291272","3.384765464889414"," -1.4404482239392604","3.5118887246491934"," -2.010442934145769"
1.5204217434472276," -1.3000558327267018","3.6041930236761255"," -4.193230933974188","3.7105252899527503"," -2.0964190873941","1.4968872125650967"," -1.3687536173638275","3.5445542931156035"," -1.442788106831932","3.6715133300303404"," -2.010442934145769"
1.5880091352710188," -1.1382227115124954","3.764323151997109"," -4.1858529246488185","3.8704901653033303"," -2.106403220095168","1.5818821323135"," -1.2045064983196179","3.704343121341793"," -1.442788106831932","3.8311379354114883"," -2.017615953299103"
